Sex,Period,Number
Persons,2014-07,"2,02,927"
Persons,2014-08,"2,16,879"
Persons,2014-09,"2,02,801"
Persons,2014-10,"2,13,273"
Persons,2014-11,"2,11,850"
Persons,2014-12,"2,24,361"
Persons,2015-01,"2,22,001"
Persons,2015-02,"1,97,983"
Persons,2015-03,"2,21,648"
Persons,2015-04,"2,05,162"
Persons,2015-05,"2,11,891"
Persons,2015-06,"2,07,674"
Persons,2015-07,"2,08,923"
Persons,2015-08,"2,31,323"
Persons,2015-09,"2,09,712"
Persons,2015-10,"2,20,195"
Persons,2015-11,"2,17,438"
Persons,2015-12,"2,30,938"
Persons,2016-01,"2,24,826"
Persons,2016-02,"2,17,129"
Persons,2016-03,"2,33,978"
Persons,2016-04,"2,16,325"
Persons,2016-05,"2,21,540"
Persons,2016-06,"2,05,451"
Persons,2016-07,"2,15,305"
Persons,2016-08,"2,29,295"
Persons,2016-09,"2,21,575"
Persons,2016-10,"2,27,502"
Persons,2016-11,"2,24,746"
Persons,2016-12,"2,43,602"
Persons,2017-01,"2,40,959"
Persons,2017-02,"2,13,485"
Persons,2017-03,"2,32,823"
Persons,2017-04,"2,28,024"
Persons,2017-05,"2,26,746"
Persons,2017-06,"2,19,125"
Persons,2017-07,"2,36,897"
Persons,2017-08,"2,50,986"
Persons,2017-09,"2,40,075"
Persons,2017-10,"2,35,124"
Persons,2017-11,"2,25,544"
Persons,2017-12,"2,47,734"
Persons,2018-01,"2,41,749"
Persons,2018-02,"2,14,577"
Persons,2018-03,"2,42,155"
Persons,2018-04,"2,32,981"
Persons,2018-05,"2,29,472"
Persons,2018-06,"2,20,592"
Persons,2018-07,"2,32,383"
Persons,2018-08,"2,37,305"
Persons,2018-09,"2,34,630"
Persons,2018-10,"2,38,515"
Persons,2018-11,"2,37,050"
Persons,2018-12,"2,59,285"
Persons,2019-01,"2,57,121"
Persons,2019-02,"2,29,736"
Persons,2019-03,"2,54,338"
Persons,2019-04,"2,49,078"
Persons,2019-05,"2,45,499"
Persons,2019-06,"2,45,830"
Persons,2019-07,"2,51,346"
Persons,2019-08,"2,54,540"
Persons,2019-09,"2,45,866"
Persons,2019-10,"2,51,054"
Persons,2019-11,"2,45,631"
Persons,2019-12,"2,66,684"
Persons,2020-01,"2,58,242"
Persons,2020-02,"2,40,119"
Persons,2020-03,"2,53,325"
Persons,2020-04,"1,75,144"
Persons,2020-05,"2,03,205"
Persons,2020-06,"2,24,258"
Persons,2020-07,"2,24,924"
Persons,2020-08,"2,35,859"
Persons,2020-09,"2,32,452"
Persons,2020-10,"2,45,738"
Persons,2020-11,"2,56,613"
Persons,2020-12,"2,76,457"
Persons,2021-01,"2,54,919"
Persons,2021-02,"2,33,338"
Persons,2021-03,"2,58,158"
Persons,2021-04,"2,55,547"
Persons,2021-05,"2,71,807"
Persons,2021-06,"2,65,630"
Persons,2021-07,"2,40,586"
Persons,2021-08,"2,34,248"
Persons,2021-09,"2,18,145"
Persons,2021-10,"2,40,847"
Persons,2021-11,"2,36,985"
Persons,2021-12,"2,75,082"
Persons,2022-01,"2,47,180"
Persons,2022-02,"2,14,402"
Persons,2022-03,"2,66,132"
Persons,2022-04,"2,53,408"
Persons,2022-05,"2,72,918"
Persons,2022-06,"2,62,555"
Persons,2022-07,"2,44,829"
Persons,2022-08,"2,53,357"
Persons,2022-09,"2,41,609"
Persons,2022-10,"2,57,157"
Persons,2022-11,"2,57,083"
Persons,2022-12,"2,71,497"
Persons,2023-01,"2,58,472"
Persons,2023-02,"2,38,910"
Persons,2023-03,"2,67,779"
Persons,2023-04,"2,55,009"
Persons,2023-05,"2,58,026"
Persons,2023-06,"2,53,375"
